,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
u,g,6.2,1.2,1.2,0.2,16.2,9.2,3.2,4.2,0.2,0.2,0.2,4.2,0.2,0.2,1.2,0.2,1.2,5.2,0.2,0.2,2.2,3.2,1.2,0.2,0.2,0.2
u,m,9.2,3.2,0.2,0.2,1.2,6.2,2.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,2.2,2.2,5.2,0.2,0.2,3.2,5.2
u,p,4.2,1.2,1.2,0.2,2.2,4.2,7.2,1.2,1.2,4.2,0.2,3.2,0.2,0.2,3.2,0.2,1.2,0.2,1.2,0.2,6.2,0.2,0.2,1.2,0.2,4.2
c,a,4.2,16.2,5.2,76.2,2.2,3.2,10.2,24.2,0.2,43.2,0.2,0.2,3.2,3.2,19.2,0.2,4.2,2.2,3.2,2.2,2.2,2.2,1.2,4.2,12.2,7.2
c,u,0.2,0.2,1.2,0.2,0.2,0.2,1.2,8.2,1.2,2.2,0.2,1.2,2.2,0.2,5.2,0.2,2.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,6.2
c,c,3.2,0.2,0.2,0.2,1.2,4.2,1.2,1.2,0.2,0.2,1.2,4.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,7.2,0.2,0.2,0.2,0.2,0.2
c,n,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
c,h,35.2,5.2,2.2,0.2,4.2,19.2,3.2,1.2,0.2,4.2,0.2,11.2,0.2,0.2,9.2,3.2,2.2,3.2,0.2,6.2,22.2,2.2,1.2,0.2,7.2,1.2
c,o,20.2,31.2,12.2,40.2,10.2,10.2,29.2,28.2,7.2,25.2,6.2,20.2,11.2,50.2,14.2,17.2,17.2,16.2,14.2,12.2,9.2,11.2,12.2,15.2,57.2,16.2
c,s,1.2,0.2,1.2,0.2,3.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,1.2,1.2,0.2,1.2,0.2,0.2,0.2
c,l,13.2,3.2,0.2,0.2,0.2,7.2,0.2,1.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,9.2,0.2,0.2,0.2,0.2,0.2
c,q,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2
c,r,13.2,0.2,1.2,0.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2,12.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,3.2,11.2,0.2,0.2,0.2,0.2,1.2
c,k,6.2,0.2,1.2,1.2,2.2,9.2,13.2,5.2,0.2,1.2,0.2,7.2,0.2,0.2,13.2,1.2,1.2,4.2,3.2,4.2,18.2,4.2,0.2,3.2,4.2,1.2
c,e,5.2,1.2,2.2,7.2,4.2,2.2,20.2,18.2,0.2,11.2,2.2,2.2,0.2,1.2,5.2,0.2,5.2,4.2,5.2,0.2,7.2,3.2,0.2,1.2,6.2,3.2
c,z,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
c,v,0.2,1.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2
c,t,1.2,5.2,0.2,0.2,4.2,4.2,1.2,2.2,1.2,3.2,0.2,3.2,0.2,0.2,3.2,1.2,0.2,0.2,0.2,0.2,10.2,1.2,0.2,0.2,1.2,1.2
c,x,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
c,d,1.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
c,f,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
c,w,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
c,y,0.2,0.2,7.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
c,i,19.2,4.2,3.2,7.2,0.2,4.2,5.2,1.2,0.2,0.2,0.2,6.2,0.2,0.2,11.2,0.2,6.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,3.2
c,b,1.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,2.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2
c,j,0.2,4.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2
c,g,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,1.2,0.2,0.2,0.2
c,m,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,1.2
c,p,1.2,2.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
n,a,5.2,3.2,8.2,28.2,16.2,0.2,24.2,25.2,1.2,10.2,2.2,2.2,2.2,4.2,22.2,0.2,10.2,4.2,7.2,0.2,11.2,13.2,3.2,9.2,18.2,8.2
n,u,2.2,0.2,1.2,1.2,0.2,0.2,4.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,2.2,2.2,0.2,0.2,1.2,0.2,1.2,3.2,2.2
n,c,14.2,1.2,1.2,1.2,11.2,12.2,1.2,3.2,1.2,4.2,0.2,30.2,0.2,1.2,1.2,1.2,0.2,1.2,1.2,1.2,8.2,0.2,0.2,0.2,0.2,1.2
n,n,16.2,3.2,2.2,14.2,1.2,6.2,0.2,1.2,0.2,1.2,0.2,11.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,11.2,19.2,1.2,0.2,0.2,1.2,0.2
n,h,8.2,2.2,0.2,1.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2,9.2,0.2,0.2,19.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2
n,o,0.2,5.2,3.2,12.2,2.2,7.2,12.2,4.2,0.2,12.2,0.2,2.2,0.2,2.2,52.2,0.2,2.2,9.2,66.2,1.2,1.2,3.2,0.2,2.2,12.2,0.2
n,s,14.2,5.2,4.2,3.2,8.2,21.2,6.2,1.2,0.2,0.2,3.2,10.2,1.2,0.2,30.2,0.2,0.2,3.2,2.2,0.2,9.2,7.2,1.2,1.2,1.2,13.2
n,l,6.2,0.2,0.2,0.2,0.2,7.2,0.2,1.2,0.2,0.2,1.2,5.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2,5.2,0.2,0.2,0.2,0.2,0.2
n,q,2.2,3.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2
n,r,2.2,8.2,1.2,2.2,1.2,5.2,0.2,0.2,0.2,0.2,0.2,6.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,0.2
n,k,5.2,3.2,1.2,4.2,1.2,3.2,18.2,3.2,0.2,0.2,1.2,4.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,8.2,11.2,0.2,2.2,0.2,1.2,0.2
n,e,12.2,4.2,4.2,4.2,4.2,12.2,29.2,13.2,0.2,12.2,2.2,21.2,21.2,25.2,19.2,8.2,12.2,4.2,31.2,5.2,8.2,4.2,1.2,6.2,6.2,0.2
n,z,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
n,v,2.2,1.2,0.2,0.2,0.2,2.2,2.2,0.2,0.2,2.2,0.2,9.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,5.2,0.2,0.2,0.2,1.2,0.2
n,t,29.2,4.2,9.2,2.2,62.2,27.2,25.2,6.2,0.2,14.2,8.2,20.2,0.2,3.2,20.2,3.2,3.2,8.2,11.2,4.2,19.2,8.2,2.2,3.2,6.2,4.2
n,x,1.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2
n,d,44.2,3.2,5.2,3.2,14.2,50.2,27.2,7.2,0.2,13.2,0.2,19.2,3.2,1.2,23.2,1.2,5.2,5.2,9.2,8.2,32.2,4.2,3.2,3.2,6.2,7.2
n,f,8.2,3.2,0.2,0.2,1.2,16.2,0.2,2.2,1.2,6.2,0.2,3.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,6.2,0.2,0.2,0.2,0.2,0.2
n,w,3.2,1.2,0.2,0.2,4.2,2.2,0.2,1.2,0.2,1.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,45.2,0.2,0.2,0.2,0.2,0.2
n,y,8.2,0.2,1.2,1.2,0.2,48.2,1.2,2.2,0.2,0.2,0.2,4.2,0.2,0.2,8.2,0.2,7.2,0.2,1.2,1.2,0.2,3.2,0.2,0.2,3.2,0.2
n,i,19.2,2.2,19.2,49.2,2.2,4.2,9.2,3.2,0.2,1.2,4.2,4.2,2.2,3.2,21.2,1.2,3.2,10.2,1.2,1.2,1.2,3.2,1.2,34.2,9.2,1.2
n,b,10.2,5.2,2.2,3.2,0.2,5.2,0.2,3.2,0.2,1.2,0.2,15.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,88.2,0.2,0.2,0.2,0.2,0.2
n,j,3.2,12.2,1.2,0.2,0.2,3.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
n,g,27.2,8.2,6.2,4.2,18.2,15.2,28.2,18.2,0.2,19.2,18.2,24.2,0.2,1.2,41.2,1.2,6.2,20.2,13.2,15.2,28.2,15.2,3.2,8.2,8.2,4.2
n,m,12.2,0.2,0.2,1.2,0.2,6.2,0.2,0.2,0.2,1.2,1.2,29.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,20.2,3.2,0.2,0.2,0.2,0.2,1.2
n,p,5.2,2.2,0.2,0.2,3.2,5.2,2.2,5.2,0.2,6.2,1.2,4.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,4.2,0.2
h,a,3.2,2.2,1.2,56.2,25.2,2.2,11.2,9.2,0.2,18.2,6.2,6.2,0.2,43.2,120.2,1.2,10.2,0.2,2.2,0.2,1.2,1.2,0.2,1.2,10.2,45.2
h,u,2.2,0.2,1.2,1.2,2.2,0.2,5.2,2.2,1.2,10.2,1.2,1.2,1.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,10.2,4.2,0.2
h,c,4.2,1.2,0.2,0.2,3.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
h,n,0.2,1.2,0.2,3.2,0.2,4.2,1.2,2.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2
h,h,7.2,1.2,0.2,1.2,8.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,0.2,4.2,1.2,0.2,1.2,0.2,0.2
h,o,0.2,28.2,1.2,11.2,1.2,14.2,12.2,15.2,0.2,7.2,0.2,3.2,0.2,0.2,31.2,0.2,5.2,1.2,24.2,1.2,1.2,1.2,0.2,2.2,8.2,9.2
h,s,2.2,0.2,0.2,0.2,0.2,3.2,0.2,2.2,0.2,0.2,3.2,1.2,0.2,0.2,2.2,0.2,0.2,0.2,1.2,0.2,5.2,0.2,2.2,0.2,2.2,0.2
h,l,1.2,0.2,0.2,0.2,0.2,5.2,2.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2
h,q,0.2,1.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
h,r,1.2,1.2,0.2,0.2,0.2,4.2,1.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,0.2
h,k,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
h,e,31.2,3.2,15.2,51.2,7.2,8.2,46.2,46.2,2.2,135.2,3.2,14.2,0.2,6.2,13.2,2.2,13.2,11.2,22.2,38.2,13.2,29.2,4.2,14.2,31.2,16.2
h,z,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
h,v,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2
h,t,4.2,0.2,1.2,2.2,18.2,8.2,5.2,2.2,0.2,3.2,0.2,0.2,0.2,0.2,349.2,0.2,1.2,2.2,4.2,0.2,9.2,3.2,0.2,1.2,1.2,1.2
h,x,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
h,d,25.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2
h,f,2.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2
h,w,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,4.2,0.2,1.2,0.2,0.2,0.2
h,y,0.2,0.2,0.2,3.2,0.2,14.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,1.2,0.2,1.2,2.2,3.2,1.2,4.2,0.2,2.2,0.2,0.2,0.2
h,i,4.2,0.2,5.2,78.2,0.2,0.2,76.2,17.2,0.2,2.2,2.2,2.2,0.2,1.2,11.2,2.2,2.2,1.2,2.2,0.2,7.2,1.2,2.2,6.2,16.2,5.2
h,b,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,33.2,0.2,0.2,0.2
h,j,7.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2
